         37994448 function calls (37476797 primitive calls) in 57.476 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.384    0.192 _generics.py:105(create_generic_submodel)
    10010    0.382    0.000    0.382    0.000 {method 'float' of 'torch._C.TensorBase' objects}
        6    0.003    0.000    0.381    0.064 adam.py:554(_multi_tensor_adam)
        1    0.000    0.000    0.380    0.380 wandb_helper.py:1(<module>)
      322    0.003    0.000    0.380    0.001 inspect.py:1070(findsource)
      105    0.001    0.000    0.379    0.004 artist.py:125(__init_subclass__)
       14    0.001    0.000    0.379    0.027 config.py:1(<module>)
        1    0.000    0.000    0.378    0.378 config_util.py:1(<module>)
     5020    0.011    0.000    0.377    0.000 dropout.py:69(forward)
     3005    0.022    0.000    0.369    0.000 dataclasses.py:449(_create_fn)
      127    0.000    0.000    0.369    0.003 utils.py:36(get_source)
      127    0.002    0.000    0.369    0.003 inspect.py:1688(getframeinfo)
     3982    0.042    0.000    0.366    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     5020    0.065    0.000    0.366    0.000 functional.py:1417(dropout)
        1    0.000    0.000    0.366    0.366 filesystem.py:1(<module>)
        1    0.000    0.000    0.364    0.364 wandb_settings.py:1(<module>)
  1157/25    0.003    0.000    0.363    0.015 {built-in method builtins.__import__}
      743    0.002    0.000    0.360    0.000 dataclasses.py:1247(dataclass)
        1    0.000    0.000    0.348    0.348 _fsdp_state.py:1(<module>)
  122/118    0.383    0.003    0.345    0.003 custom_ops.py:607(_register_to_dispatcher)
        1    0.000    0.000    0.343    0.343 AudioDelay.py:1(<module>)
   6766/3    0.038    0.000    0.343    0.114 <frozen importlib._bootstrap>:1349(_find_and_load)
   3978/3    0.025    0.000    0.343    0.114 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   3851/3    0.019    0.000    0.342    0.114 <frozen importlib._bootstrap>:911(_load_unlocked)
   3738/3    0.014    0.000    0.342    0.114 <frozen importlib._bootstrap_external>:993(exec_module)
   8720/7    0.150    0.000    0.341    0.049 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       30    0.000    0.000    0.339    0.011 library.py:676(wrap)
    73774    0.075    0.000    0.338    0.000 pathlib.py:380(with_segments)
        1    0.000    0.000    0.338    0.338 AudioClip.py:1(<module>)
     5000    0.093    0.000    0.338    0.000 api.py:161(_get_new_robot_position)
        1    0.000    0.000    0.327    0.327 ffmpeg_audiowriter.py:1(<module>)
        1    0.000    0.000    0.320    0.320 figure.py:1(<module>)
     5020    0.020    0.000    0.317    0.000 pooling.py:222(forward)
     5020    0.009    0.000    0.316    0.000 pooling.py:1508(forward)
     5020    0.024    0.000    0.307    0.000 functional.py:1384(adaptive_avg_pool2d)
      120    0.001    0.000    0.304    0.003 artist.py:1832(kwdoc)
      276    0.002    0.000    0.303    0.001 __init__.py:436(metadata)
 4033/111    0.010    0.000    0.302    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     3976    0.005    0.000    0.302    0.000 <frozen posixpath>:423(realpath)
        5    0.000    0.000    0.301    0.060 subprocess.py:807(__init__)
        5    0.001    0.000    0.300    0.060 subprocess.py:1791(_execute_child)
        1    0.000    0.000    0.300    0.300 _flat_param.py:1(<module>)
     5020    0.021    0.000    0.297    0.000 _jit_internal.py:609(fn)
    36379    0.047    0.000    0.297    0.000 pathlib.py:731(parent)
        1    0.000    0.000    0.296    0.296 _fsdp_extensions.py:1(<module>)
        5    0.294    0.059    0.294    0.059 {built-in method _posixsubprocess.fork_exec}
        2    0.000    0.000    0.294    0.147 files.py:1(<module>)
        1    0.000    0.000    0.293    0.293 runs.py:1(<module>)
        1    0.000    0.000    0.293    0.293 _shard_utils.py:1(<module>)
       15    0.001    0.000    0.291    0.019 core.py:1(<module>)
        1    0.000    0.000    0.289    0.289 config.py:24(try_cmd)
10925/9969    0.021    0.000    0.287    0.000 typing.py:392(inner)
4992/4916    0.007    0.000    0.286    0.000 inspect.py:976(getabsfile)
     5020    0.011    0.000    0.286    0.000 activation.py:139(forward)
     5020    0.286    0.000    0.286    0.000 {built-in method torch.dropout}
     3977    0.005    0.000    0.284    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
3977/3976    0.063    0.000    0.283    0.000 <frozen posixpath>:432(_joinrealpath)
       10    0.000    0.000    0.280    0.028 rendering.py:340(reset)
    30/10    0.001    0.000    0.280    0.028 core.py:329(reset)
       10    0.000    0.000    0.279    0.028 common.py:133(reset)
     3977    0.013    0.000    0.279    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
       10    0.000    0.000    0.279    0.028 common.py:395(reset)
       10    0.000    0.000    0.279    0.028 common.py:287(reset)
       10    0.012    0.001    0.278    0.028 api.py:81(reset)
     5020    0.014    0.000    0.276    0.000 functional.py:810(_max_pool2d)
     5020    0.010    0.000    0.275    0.000 functional.py:1710(relu)
        1    0.000    0.000    0.275    0.275 program.py:1(<module>)
     5386    0.016    0.000    0.267    0.000 inspect.py:951(getsourcefile)
1437413/1436715    0.250    0.000    0.266    0.000 {built-in method builtins.isinstance}
   316544    0.262    0.000    0.262    0.000 module.py:1952(__getattr__)
     5020    0.262    0.000    0.262    0.000 {built-in method torch.relu}
        1    0.000    0.000    0.262    0.262 _conv_ops.py:1(<module>)
     5010    0.156    0.000    0.262    0.000 api.py:140(_move_robot)
      120    0.007    0.000    0.261    0.002 artist.py:1593(pprint_setters)
     5020    0.258    0.000    0.258    0.000 {built-in method torch.max_pool2d}
   180730    0.251    0.000    0.251    0.000 {built-in method torch._C._get_tracing_state}
    83218    0.145    0.000    0.248    0.000 <frozen posixpath>:71(join)
    29829    0.247    0.000    0.247    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     5020    0.244    0.000    0.244    0.000 {built-in method torch._C._nn.adaptive_avg_pool2d}
        3    0.000    0.000    0.241    0.080 image.py:1(<module>)
435437/434808    0.144    0.000    0.241    0.000 {built-in method builtins.hasattr}
     5357    0.060    0.000    0.240    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
     9036    0.014    0.000    0.239    0.000 __init__.py:280(_compile)
  2842/64    0.002    0.000    0.239    0.004 __init__.py:73(import_module)
  2845/64    0.002    0.000    0.239    0.004 <frozen importlib._bootstrap>:1375(_gcd_import)
   110391    0.149    0.000    0.236    0.000 pathlib.py:358(__init__)
     5000    0.235    0.000    0.235    0.000 {built-in method torch.softmax}
        1    0.000    0.000    0.235    0.235 _triton.py:6(has_triton_package)
    36389    0.033    0.000    0.234    0.000 pathlib.py:420(_from_parsed_parts)
      276    0.001    0.000    0.231    0.001 __init__.py:31(message_from_string)
        1    0.000    0.000    0.229    0.229 _dtensor_spec.py:1(<module>)
      276    0.003    0.000    0.229    0.001 parser.py:56(parsestr)
        1    0.000    0.000    0.228    0.228 placement_types.py:1(<module>)
      232    0.174    0.001    0.226    0.001 {built-in method builtins.sum}
      276    0.001    0.000    0.226    0.001 parser.py:41(parse)
        1    0.000    0.000    0.223    0.223 backend_bases.py:1(<module>)
      147    0.004    0.000    0.221    0.002 _model_construction.py:584(complete_model_class)
348710/348641    0.118    0.000    0.218    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.218    0.218 _collective_utils.py:1(<module>)
        1    0.000    0.000    0.217    0.217 library.py:1066(register)
        1    0.000    0.000    0.217    0.217 speech_rec.py:1(<module>)
    74012    0.060    0.000    0.215    0.000 pathlib.py:1157(__init__)
     4409    0.015    0.000    0.214    0.000 artist.py:1461(get_valid_values)
        5    0.000    0.000    0.212    0.042 functional.py:1(<module>)
    36387    0.017    0.000    0.212    0.000 pathlib.py:719(__truediv__)
     2719    0.003    0.000    0.211    0.000 inspect.py:3346(signature)
      560    0.003    0.000    0.211    0.000 _compiler.py:745(compile)
       10    0.000    0.000    0.208    0.021 linear.py:1(<module>)
     2719    0.004    0.000    0.208    0.000 inspect.py:3081(from_callable)
4199/2772    0.033    0.000    0.207    0.000 inspect.py:2501(_signature_from_callable)
    37353    0.030    0.000    0.207    0.000 pathlib.py:711(joinpath)
      553    0.001    0.000    0.206    0.000 feedparser.py:171(feed)
        2    0.000    0.000    0.204    0.102 app.py:1(<module>)
      829    0.002    0.000    0.195    0.000 feedparser.py:176(_call_parse)
      829    0.035    0.000    0.193    0.000 feedparser.py:216(_parsegen)
    36372    0.061    0.000    0.191    0.000 __init__.py:485(make_file)
      745    0.001    0.000    0.189    0.000 __init__.py:226(compile)
        1    0.000    0.000    0.187    0.187 autotuner.py:1(<module>)
  736/109    0.003    0.000    0.176    0.002 _generate_schema.py:702(generate_schema)
 1418/109    0.006    0.000    0.174    0.002 _generate_schema.py:1002(_generate_schema_inner)
      616    0.017    0.000    0.172    0.000 _typing_extra.py:308(get_model_type_hints)
  225/104    0.005    0.000    0.169    0.002 _generate_schema.py:741(_model_schema)
     8712    0.048    0.000    0.168    0.000 <frozen importlib._bootstrap>:304(acquire)
    77/66    0.000    0.000    0.168    0.003 <frozen importlib._bootstrap_external>:1299(exec_module)
   646352    0.165    0.000    0.165    0.000 {built-in method sys.intern}
178881/176189    0.113    0.000    0.165    0.000 {built-in method __new__ of type object at 0x935960}
     7796    0.095    0.000    0.165    0.000 inspect.py:882(cleandoc)
        2    0.000    0.000    0.163    0.082 async_client.py:1(<module>)
     9748    0.018    0.000    0.162    0.000 {method 'sum' of 'numpy.ndarray' objects}
